Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
25.190526,-80.656996,2023-03-08,17RNH,0.0052,0.016,0.043,0.0339,0.2044,0.09,0.0401,0.001,25.83,23.8,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-24,17RNH,0.0032,0.0134,0.0425,0.0323,0.2188,0.0902,0.0402,0.0008,24.93,22.96,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-01,17RNH,0.0058,0.0162,0.0448,0.0362,0.2172,0.0976,0.044,0.0011,25.34,23.08,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-09,17RNH,-0.0016,-0.0003,0.0085,0.0,0.0449,0.0175,0.0077,0.0007,23.92,20.93,204.0,0b11001100,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-17,17RNH,0.0048,0.0199,0.0611,0.0486,0.2223,0.1065,0.0601,0.0019,19.27,17.42,198.0,0b11000110,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b1,Yes,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-25,17RNH,0.4729,0.4715,0.4798,0.4671,0.5028,0.3837,0.3112,0.0262,-7.74,-8.08,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-08,17RNH,0.0037,0.014,0.0419,0.0325,0.2012,0.0773,0.0337,0.0008,25.85,23.48,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-24,17RNH,0.0033,0.0126,0.0411,0.0308,0.2063,0.0792,0.0335,0.0012,24.66,22.82,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-01,17RNH,0.0032,0.0125,0.041,0.0328,0.2026,0.0816,0.0353,0.0007,25.25,23.09,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-09,17RNH,-0.0013,0.0053,0.0243,0.0167,0.1127,0.045,0.0189,0.001,24.17,21.19,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
